cp,msc,std,var,n_max,lambda_max,fl,gamma,alpha,beta
1,1,733.0067959,537298.9628,12.858744727838355,75.90034342456819,0.152066591057022,50.70551586030952,0.609710059308804,0.002360425014389282
1,2,722.8860627,522564.2597,36.63742410401276,75.3895089036527,0.155302083649264,51.357027113550515,0.6630814209566522,0.00025100079486953367
1,3,747.1867997,558288.1136,10.844113395143678,75.74856046268292,0.146056898404903,52.03285837441497,0.6200762113569523,0.0032307874475859056
1,4,745.4116486,555638.5258,25.140125664828314,74.70177207001461,0.144725355623452,52.166246553770655,0.6728155754513191,0.00051767564430667
1,5,733.8692817,538564.1226,19.79050316912214,72.27108955089902,0.144455224962749,48.202929201723975,0.6305844716595209,0.0009431949669730894
1,6,716.4709853,513330.6727,36.0589393907597,75.63995693207632,0.158620797590906,50.90865528529506,0.6541211139415154,0.000266010117155408
1,7,744.8379048,554783.5044,15.085283330355686,75.51313349376457,0.14652273753387,50.07882872840163,0.6136569118674173,0.001697720543703462
1,8,727.4787517,529225.3342,13.417834908604382,74.44530381693636,0.151426802636181,51.88510683522134,0.6461829922369193,0.0019652319549376
1,9,744.8788771,554844.5416,11.184702263813184,75.56930974027271,0.146615609102601,50.927645047271604,0.6067427220977215,0.003143604583754985
1,10,740.7969375,548780.1026,11.61372093233363,75.65182324032169,0.148397680951509,50.46817738751491,0.6014281270441664,0.002955043479117074
1,11,739.4829248,546834.996,13.234980502857958,76.0411455341146,0.149691941704815,54.15088262406835,0.6631454829693488,0.001923072970148036
1,12,757.2656233,573451.2243,17.57109991032003,74.26953041558279,0.139418454869019,50.229962687504774,0.6360755780323283,0.0011787271978356225
1,13,724.7049524,525197.2681,38.56285752449554,74.95565493071025,0.153634239997198,49.858384098563725,0.6471068212228048,0.0002373038849026411
1,14,733.1990575,537580.858,873701580.6417435,76.13561249191574,0.15245796597721,52.38182287748401,0.6880068486829468,4.087133447550292e-19
1,15,752.4661813,566205.354,12.434638336805902,75.2902040623924,0.14314315132811,50.431985303974066,0.6095611886232629,0.002525147000134245
1,16,748.7746435,560663.4667,12.205878188880726,76.5550180039741,0.146986509393849,49.632264423087754,0.5827540962486458,0.0028006189219720668
1,17,764.9732856,585184.1277,12.27752081706565,76.24313331792813,0.140253681398726,50.14269744505079,0.5942662755767716,0.002691657202435416
1,18,738.0337943,544693.8815,21.38695541224736,74.4865010559754,0.147207910663278,51.87549076411679,0.6659314628097424,0.0007303611224309895
